"","ckd","clc_age","diabx","edudr04","fmh_15","gendmhi","gen_025","gen_045","hwmdbmi","low_drink_score1","married","minperweek","slp_11","smoke","totalfv","whr","working"
"ckd",1,0.25685872749867,0.142556773371591,0.0757304373613041,0.0253092827558282,0.00762661670682297,-0.0425750333045494,-0.0236903985043625,0.053335155122085,-0.0338371061762781,-0.0151495916786745,-0.0750354516288692,0.0639282251040579,0.00730400823759541,0.00241455493629493,0.114433138787682,0.195004945943924
"clc_age",0.25685872749867,1,0.283605904965301,0.138241366645438,0.074400391468122,-0.0239858364450646,-0.137441525173474,-0.122422298227373,0.134325154790552,-0.0430312585201437,-0.21810561114825,-0.192277166044853,0.0627583911841611,0.041244859084661,0.0421513821940945,0.366693234418126,0.469529596573038
"diabx",0.142556773371591,0.283605904965301,1,0.0844176763268416,0.0626638577737639,0.008262613506667,-0.0256856569595975,0.00317023786944939,0.202230854003038,-0.0787820076083381,-0.0319482947619398,-0.149026488144877,0.0488071979946564,0.0275110867905293,-0.0245627988245834,0.280593913706283,0.200625252305294
"edudr04",0.0757304373613041,0.138241366645438,0.0844176763268416,1,-0.0349817111142666,0.0775427627219008,-0.028328269497247,-0.00852556381062779,0.047663851322255,0.00204871686747243,0.073126265236403,-0.125597540125743,0.0227510664986005,0.184517567406565,-0.103178314617158,0.109191167841887,0.206468555841752
"fmh_15",0.0253092827558282,0.074400391468122,0.0626638577737639,-0.0349817111142666,1,-0.00240035306062416,0.0242430032284946,-0.00165832897078127,0.0820010480788965,-0.0326773961426116,-0.0283186303258336,-0.0182144976591105,-0.0274535864525576,-0.0102191366963774,-0.000791269792564684,0.103876886427608,0.0186353002133998
"gendmhi",0.00762661670682297,-0.0239858364450646,0.008262613506667,0.0775427627219008,-0.00240035306062416,1,0.184633292189327,0.0953760738152203,0.0139907449092558,0.00650557802628672,0.0934654649024476,-0.0141814710498114,-0.0448742683329184,0.0820696125391063,-0.0656679380831277,0.015878805336296,0.0818997139803784
"gen_025",-0.0425750333045494,-0.137441525173474,-0.0256856569595975,-0.028328269497247,0.0242430032284946,0.184633292189327,1,0.0682556941768331,0.0312561192152659,0.0219662708501353,0.0217334747706744,-0.00287738785922346,-0.125409936758027,0.0202804815000253,-0.0191344088260374,-0.00163517280417839,-0.104767048437788
"gen_045",-0.0236903985043625,-0.122422298227373,0.00317023786944939,-0.00852556381062779,-0.00165832897078127,0.0953760738152203,0.0682556941768331,1,-0.00529506579820732,0.00881489660803191,0.104000923766981,-0.0147084356539627,-0.0123493585635565,0.0419078369381039,-0.0527262961197151,-0.0320156126600619,-0.0281628544102317
"hwmdbmi",0.053335155122085,0.134325154790552,0.202230854003038,0.047663851322255,0.0820010480788965,0.0139907449092558,0.0312561192152659,-0.00529506579820732,1,-0.00550087590339022,-0.120631957807133,-0.184212826489346,-0.0296705765200373,-0.0142584828338006,-0.0541380363900387,0.89567959805016,0.0327531187916975
"low_drink_score1",-0.0338371061762781,-0.0430312585201437,-0.0787820076083381,0.00204871686747243,-0.0326773961426116,0.00650557802628672,0.0219662708501353,0.00881489660803191,-0.00550087590339022,1,0.0423389253508303,-0.00294889470850305,0.013712391469603,0.194487920733024,-0.0323559379316293,-0.0171171425048487,-0.0482801073759986
"married",-0.0151495916786745,-0.21810561114825,-0.0319482947619398,0.073126265236403,-0.0283186303258336,0.0934654649024476,0.0217334747706744,0.104000923766981,-0.120631957807133,0.0423389253508303,1,0.0686850269307492,0.012713080447632,0.0987462078004227,-0.0790958580554841,-0.148480857342415,0.0752576435776224
"minperweek",-0.0750354516288692,-0.192277166044853,-0.149026488144877,-0.125597540125743,-0.0182144976591105,-0.0141814710498114,-0.00287738785922346,-0.0147084356539627,-0.184212826489346,-0.00294889470850305,0.0686850269307492,1,-0.0179983806505668,-0.105646652864721,0.0762463714849439,-0.241589084361216,-0.144150801011829
"slp_11",0.0639282251040579,0.0627583911841611,0.0488071979946564,0.0227510664986005,-0.0274535864525576,-0.0448742683329184,-0.125409936758027,-0.0123493585635565,-0.0296705765200373,0.013712391469603,0.012713080447632,-0.0179983806505668,1,-0.0218799559425589,0.0302730870654325,-0.0103725759928569,0.129616404420624
"smoke",0.00730400823759541,0.041244859084661,0.0275110867905293,0.184517567406565,-0.0102191366963774,0.0820696125391063,0.0202804815000253,0.0419078369381039,-0.0142584828338006,0.194487920733024,0.0987462078004227,-0.105646652864721,-0.0218799559425589,1,-0.127113431024019,0.030628826341802,0.104747039693615
"totalfv",0.00241455493629493,0.0421513821940945,-0.0245627988245834,-0.103178314617158,-0.000791269792564684,-0.0656679380831277,-0.0191344088260374,-0.0527262961197151,-0.0541380363900387,-0.0323559379316293,-0.0790958580554841,0.0762463714849439,0.0302730870654325,-0.127113431024019,1,-0.0755935297012761,-0.00293136625165031
"whr",0.114433138787682,0.366693234418126,0.280593913706283,0.109191167841887,0.103876886427608,0.015878805336296,-0.00163517280417839,-0.0320156126600619,0.89567959805016,-0.0171171425048487,-0.148480857342415,-0.241589084361216,-0.0103725759928569,0.030628826341802,-0.0755935297012761,1,0.174208623260273
"working",0.195004945943924,0.469529596573038,0.200625252305294,0.206468555841752,0.0186353002133998,0.0818997139803784,-0.104767048437788,-0.0281628544102317,0.0327531187916975,-0.0482801073759986,0.0752576435776224,-0.144150801011829,0.129616404420624,0.104747039693615,-0.00293136625165031,0.174208623260273,1
