origVariable,catValue,dummyVariable
married,1,married_1
married,2,married_2
married,3,married_3
edudr04,1,edudr04_1
edudr04,2,edudr04_2
edudr04,3,edudr04_3
working,1,working_1
working,2,working_2
gendmhi,1,gendmhi_1
gendmhi,2,gendmhi_2
gen_025,1,gen_025_1
gen_025,2,gen_025_2
gen_045,1,gen_045_1
gen_045,2,gen_045_2
fmh_15,1,fmh_15_1
fmh_15,2,fmh_15_2
low_drink_score1,1,low_drink_score1_1
low_drink_score1,2,low_drink_score1_2
low_drink_score1,3,low_drink_score1_3
low_drink_score1,4,low_drink_score1_4
smoke,1,smoke_1
smoke,2,smoke_2
smoke,3,smoke_3
diabx,1,diabx_1
diabx,2,diabx_2
ckd,1,ckd_1
ckd,2,ckd_2
