age_group_5yr,mean_pred,sd_pred,min_pred,max_pred,p05_pred,p10_pred,p20_pred,p25_pred,p30_pred,p40_pred,p50_pred,p60_pred,p75_pred,p80_pred,p90_pred,p95_pred
"[20,25)",0.00996518,0.033820327,4.31E-05,0.51138324,0.000187318,0.000297006,0.000622327,0.000809999,0.000964817,0.001418506,0.002118998,0.003647265,0.006749538,0.009273489,0.01846585,0.033414313
"[25,30)",0.019805771,0.045043077,0.000284619,0.558676692,0.001203796,0.001741051,0.003183794,0.003913726,0.004550368,0.00647592,0.008897578,0.01173822,0.020219637,0.024709517,0.041328783,0.059919336
"[30,35)",0.046826318,0.08381559,0.000947778,0.923940259,0.005365957,0.007145378,0.010661823,0.012646023,0.014530821,0.018881444,0.024309094,0.030930213,0.048576903,0.056792372,0.094450689,0.16204894
"[35,40)",0.081655664,0.111788831,0.002696568,0.883990131,0.013704008,0.01748107,0.024285539,0.027366961,0.030963354,0.038496175,0.049365189,0.060799471,0.08700318,0.099792913,0.155343538,0.265120851
"[40,45)",0.129644282,0.143376527,0.01331687,0.959608431,0.028853064,0.03550892,0.047151884,0.052252952,0.058552889,0.070826769,0.085099466,0.101402287,0.144880728,0.162575823,0.25077065,0.386283982
"[45,50)",0.197173463,0.168424529,0.028370891,0.957899788,0.053228565,0.063432993,0.082601528,0.091549522,0.099669362,0.120363727,0.144914465,0.16749852,0.229810813,0.267269133,0.411275844,0.591548099
"[50,55)",0.281658157,0.205303902,0.028488845,0.974003529,0.075777887,0.094145777,0.119682085,0.1330316,0.145583346,0.175988212,0.20943984,0.257619658,0.363571202,0.426065275,0.593901781,0.752691342
"[55,60)",0.383597918,0.225660512,0.046997219,0.959693171,0.096319429,0.13308597,0.180660432,0.213604651,0.234048632,0.277535097,0.327436337,0.39948679,0.510886876,0.585374561,0.746863738,0.848674437
"[60,65)",0.469753118,0.237215127,0.072999933,0.980002761,0.145306029,0.175654112,0.241980519,0.275497777,0.304470907,0.361550649,0.427842973,0.510540524,0.659047221,0.714915775,0.825529855,0.899673198
"[65,70)",0.562581687,0.210154348,0.121051263,0.973117462,0.218539023,0.264728133,0.354852095,0.401684366,0.427517221,0.498758069,0.562652518,0.634119466,0.727505725,0.755545376,0.852937588,0.897693542
"[70,75)",0.648177024,0.181805705,0.167762374,0.964477728,0.326878776,0.397393824,0.479212573,0.515986551,0.545226101,0.601041398,0.653785845,0.70938846,0.80420596,0.828309976,0.883621906,0.928721129
"[75,80)",0.710168354,0.154829189,0.199651529,0.977653835,0.451036585,0.492119291,0.55876817,0.589214266,0.632728788,0.685235988,0.727715113,0.774295445,0.831329263,0.850915258,0.904153938,0.930827614
